"Fiscal Year","Contracting Agency ID","Product or Service Code","Dollars Obligated"
"2019","12C2","5895","$6,938,253.08"
"2019","12C2","5935","$9,494.99"
"2019","12C2","5975","$135,042.84"
"2019","12C2","5980","$11,135.00"
"2019","12C2","5998","$198,381.05"
"2019","12C2","5999","$103,385.78"
"2019","12C2","6015","$9,284.00"
"2019","12C2","6020","$4,203.75"
"2019","12C2","6105","$40,324.52"
"2019","12C2","6115","$212,676.11"
"2019","12C2","6116","$239,600.00"
"2019","12C2","6117","$47,212.68"
"2019","12C2","6135","$48,658.86"
"2019","12C2","6145","$122,159.27"
"2019","12C2","6150","$194,270.79"
"2019","12C2","6210","$8,337.50"
"2019","12C2","6220","$100,124.32"
"2019","12C2","6230","$18,650.00"
"2019","12C2","6310","$56,153.28"
"2019","12C2","6350","$55,183.16"
"2019","12C2","6505","$81,638.61"
"2019","12C2","6509","$15,493.76"
"2019","12C2","6515","$117,235.13"
"2019","12C2","6520","$28,368.98"
"2019","12C2","6525","($146.59)"
"2019","12C2","6530","$0.00"
"2019","12C2","6540","($1,334.00)"
"2019","12C2","6545","($59.50)"
"2019","12C2","6605","$78,814.84"
"2019","12C2","6610","$54,066.80"
"2019","12C2","6625","$224,131.70"
"2019","12C2","6630","$323,096.06"
"2019","12C2","6635","$93,632.25"
"2019","12C2","6636","$22,033.93"
"2019","12C2","6640","$1,293,537.08"
"2019","12C2","6645","$20,332.72"
"2019","12C2","6650","$152,696.43"
"2019","12C2","6660","$202,255.93"
"2019","12C2","6675","$814,480.49"
"2019","12C2","6680","($65.00)"
"2019","12C2","6685","$18,943.50"
"2019","12C2","6695","$85,735.76"
"2019","12C2","6710","$21,235.82"
"2019","12C2","6720","$72,584.95"
"2019","12C2","6750","$16,632.00"
"2019","12C2","6760","$33,051.39"
"2019","12C2","6810","$92,972.49"
"2019","12C2","6830","$9,369.96"
"2019","12C2","6840","$224,454.05"
"2019","12C2","6850","$10,580,551.95"
"2019","12C2","6910","$23,023.84"
"2019","12C2","6930","($9,732.74)"
"2019","12C2","6940","$23,506.75"
"2019","12C2","7010","$37,067.90"
"2019","12C2","7020","$99,139.98"
"2019","12C2","7021","$25,250.00"
"2019","12C2","7022","$14,090.27"
"2019","12C2","7025","$12,272,686.11"
"2019","12C2","7030","$15,299,092.65"
"2019","12C2","7035","$2,012,726.41"
"2019","12C2","7042","$24,659.64"
"2019","12C2","7045","$152,839.91"
"2019","12C2","7050","$116,713.63"
"2019","12C2","7105","$120,283.37"
"2019","12C2","7110","$1,801,993.25"
"2019","12C2","7125","$85,062.66"
"2019","12C2","7195","$202,383.36"
"2019","12C2","7210","$0.00"
"2019","12C2","7220","$13,125.00"
"2019","12C2","7230","$22,251.83"
"2019","12C2","7240","$21,984.00"
"2019","12C2","7290","$172,374.63"
